sid,fwy,lat,lng,u,v
771667,I110-N,34.07508251984187,-118.2320500709909,1614923195,26902002
773013,I110-N,34.08412713739547,-118.22038049105386,33717752,29416313
767751,I110-N,34.09295842991327,-118.20619928522821,375198617,21507076
772513,I110-N,34.07040220298006,-118.23527065388532,269444554,21662853
772669,I110-N,34.07850407415575,-118.22804587520857,26902002,13885935
771673,I110-N,34.078402473551286,-118.22817057105622,26902002,13885935
773012,I110-S,34.08421732298902,-118.2204565902344,15261772,269598309
718045,I110-S,34.06801539089407,-118.23802280534115,806547157,606441164
760650,I110-S,34.07449275807849,-118.23312317668399,20400047,38020241
767750,I110-S,34.09312092561284,-118.20634763755659,26187122,1613525416
769819,I210-E,34.20589553276261,-118.19823240149883,1687054124,316803571
769831,I210-E,34.2067648053094,-118.20153136066095,355765824,1687054124
769847,I210-E,34.21177503306853,-118.22824575762611,305421514,305416215
769806,I210-E,34.19692558465116,-118.18505124758549,318269258,318024379
769953,I210-W,34.20695422594248,-118.20144608647234,15682495,1842004390
769941,I210-W,34.20707324211058,-118.2049433293953,1842004390,1376737825
769867,I210-W,34.21862780711344,-118.23957093038732,1931511081,322581612
769926,I210-W,34.21438443883668,-118.23249152236455,305421106,1842042919
717804,I405-N,34.09584211824772,-118.47650391366257,338511634,122416956
717819,I405-N,34.18819144539184,-118.47410539945983,293826694,631892092
767351,I405-N,34.18051217919857,-118.47048310128561,35317437,293826694
717818,I405-N,34.17283055915765,-118.46758479623352,26819499,35317437
717825,I405-N,34.222979035574596,-118.47308815717464,122491482,362826332
717823,I405-N,34.20254370363617,-118.4732867357283,362706086,362708680
737529,I405-S,34.20222748651692,-118.47350214773105,362708318,26819492
717816,I405-S,34.15531643708093,-118.46854369414618,269571660,269571563
765273,I405-S,34.188237387220376,-118.47431609649428,293827863,293828095
767366,I405-S,34.2130905278389,-118.47341290315507,593060800,362708318
765171,I405-S,34.168234615591516,-118.46873299565924,305532520,26819502
767053,I405-S,34.16928114127507,-118.46815059969211,7118722407,305532520
767350,I405-S,34.180570823228564,-118.4707693700983,701899548,7118722407
765265,I405-S,34.18578992706861,-118.47409219161491,293828095,701899548
717821,I405-S,34.199500662259005,-118.47392361284534,26819492,362704179
716956,I5-N,34.10841793095009,-118.25898751857429,1686580866,20189446
761604,I5-N,34.15377372228228,-118.28646637027822,403623346,338933805
718371,I5-N,34.09035457476506,-118.23858600927488,269596401,14995402
761599,I5-N,34.14257534503776,-118.27793568823839,77741551,298585779
716968,I5-N,34.16547507065396,-118.29753658454575,1884813453,26740008
716942,I5-N,34.059058465193466,-118.2144602158421,269459338,1530583594
759591,I5-N,34.114309992385785,-118.26774229340103,911820291,38407085
716953,I5-N,34.094071244962926,-118.24228001516629,14995402,291676550
716951,I5-N,34.08689315230986,-118.23360335727737,269596436,269596401
759602,I5-N,34.123396638292,-118.27227523881193,21490199,20954460
716941,I5-S,34.05731436495448,-118.214374588829,363477390,326712429
716960,I5-S,34.11831060760108,-118.2701285410195,20820632,20820633
716955,I5-S,34.0954397734112,-118.24392946731582,25274550,6872663603
718379,I5-S,34.14181008865618,-118.2780667218525,298583385,298585645
718089,I5-S,34.12334932047147,-118.27250929994537,20820632,20820633
718090,I5-S,34.14884462940597,-118.27986056095732,364873626,1884813438
716958,I5-S,34.111296271135785,-118.26453770007817,21478645,20820635
716943,I5-S,34.059014318939326,-118.21467705884793,363477390,326712429
716949,I5-S,34.08316208202965,-118.2282293182658,269595908,269595905
716939,I5-S,34.041408247128565,-118.2183748723205,1614922775,653766
759772,I5-S,34.16892845217641,-118.3026734321637,20930309,358218015
773869,SR134-E,34.15496958599811,-118.31790770930478,26428271,20857671
717578,SR134-E,34.154442277960165,-118.27245596780006,364873589,1686591011
760987,SR134-E,34.1535326159601,-118.339979312777,122459534,7668301080
718204,SR134-E,34.155444188162505,-118.29597323387237,1233732679,1686584226
773927,SR134-E,34.152857247737934,-118.27925744175415,912112449,364873589
774011,SR134-E,34.147965997866834,-118.19754248848409,17589348,300944376
773953,SR134-E,34.15507412339194,-118.2905747162651,1233732679,1686584226
773880,SR134-E,34.153782038693514,-118.34188045559472,122459534,7668301080
773916,SR134-E,34.15218382669266,-118.2826824579566,1686584229,912112449
717573,SR134-E,34.15402960512945,-118.32403233422555,20857688,26428271
717570,SR134-E,34.15306118524685,-118.35990407899479,1340580299,1855249852
773904,SR134-E,34.155262103572106,-118.2940802892996,1233732679,1686584226
761003,SR134-E,34.155145826027905,-118.30974695636786,20857671,1956040650
773995,SR134-E,34.14486489157192,-118.21565519591331,361523868,17589348
717583,SR134-E,34.15628797463001,-118.25012006240054,553500027,1956040672
717580,SR134-E,34.155864341054624,-118.26606946686111,1956040644,383846660
717587,SR134-E,34.1549263820108,-118.2403363411332,553499971,1734644776
717585,SR134-E,34.155908803287,-118.24267100615654,1956040672,553499971
773974,SR134-E,34.145484720901784,-118.2219188465616,361523787,361523813
717592,SR134-E,34.14689794696122,-118.22709721398896,361523787,361523813
717595,SR134-E,34.142228626354544,-118.18445015876402,300944376,300944436
773906,SR134-W,34.155436652386264,-118.29408192651395,338935762,7664051915
774012,SR134-W,34.14815396252021,-118.1975015355241,300944078,363839552
716554,SR134-W,34.15617296292196,-118.2653413401396,1799706845,13890125
773954,SR134-W,34.15541334186371,-118.29054998844177,338935762,7664051915
773939,SR134-W,34.15308902141912,-118.36974220520977,1833669048,299528406
774067,SR134-W,34.153536715578696,-118.28424900050742,1377536917,338935592
717099,SR134-W,34.15646024557856,-118.24519450195362,20854038,13890126
717576,SR134-W,34.155622262378415,-118.2959727109902,338935762,7664051915
717572,SR134-W,34.15359618395246,-118.32705718018188,1830204049,340145423
717571,SR134-W,34.153236190517454,-118.35989671290221,6853166455,1833669048
718496,SR134-W,34.15414360137931,-118.34372502344827,20659737,81952272
718499,SR134-W,34.15481151044708,-118.31189195646635,1233732718,529607866
773996,SR134-W,34.14505486748498,-118.21560815996017,300944078,363839552
717582,SR134-W,34.15641513802824,-118.26215865651355,1686590990,1799706845
773975,SR134-W,34.14568990479086,-118.22187221201861,363839552,363840285
774204,SR134-W,34.15412169589455,-118.34337769001482,20659737,81952272
717590,SR134-W,34.14811013079569,-118.22950477509033,363840285,361523734
765604,SR170-N,34.16413921110792,-118.38225471919924,361463277,273607575
764424,SR170-N,34.178755206632744,-118.39474160045701,361458491,18154009
764120,SR170-N,34.201626223906004,-118.40369091512542,361451218,1957285395
763995,SR170-N,34.220020954106054,-118.40959955976608,306526678,1957285397
764106,SR170-N,34.17169156313804,-118.38808849670963,166795424,18154007
717610,SR170-S,34.17873350641352,-118.3949680427936,362409104,1957285381
716571,SR170-S,34.19999599379499,-118.40338418313421,361449050,361450999
717608,SR170-S,34.1716391922734,-118.38832949552842,21703085,29570294
764101,SR170-S,34.16327373522028,-118.38207650595031,21703087,166914602
767541,SR2-E,34.11610993745072,-118.2384093121432,577421639,382650862
